IDSession,TipoEvento,Valor,Tiempo(s)
9,Scroll,2173,0
9,Scroll,2171,1
9,Scroll,2168,1
9,Scroll,2162,1
9,Scroll,2151,1
9,Scroll,2133,1
9,Scroll,2110,1
9,Scroll,2049,1
9,Scroll,2013,1
9,Scroll,1979,1
9,Scroll,1950,1
9,Scroll,1928,1
9,Scroll,1914,1
9,Scroll,1908,1
9,Scroll,1906,1
9,Scroll,1904,1
9,Scroll,1899,1
9,Scroll,1885,1
9,Scroll,1855,1
9,Scroll,1806,1
9,Scroll,1739,1
9,Scroll,1662,1
9,Scroll,1586,1
9,Scroll,1528,1
9,Scroll,1494,1
9,Scroll,1484,1
9,Scroll,1482,1
9,Scroll,1478,1
9,Scroll,1470,1
9,Scroll,1453,1
9,Scroll,1419,1
9,Scroll,1331,1
9,Scroll,1306,1
9,Scroll,1244,1
9,Scroll,1189,1
9,Scroll,1142,1
9,Scroll,1107,1
9,Scroll,1083,1
9,Scroll,1069,1
9,Scroll,1062,1
9,Scroll,1060,1
9,Scroll,1059,1
9,Scroll,1054,1
9,Scroll,1038,2
9,Scroll,1002,2
9,Scroll,947,2
9,Scroll,886,2
9,Scroll,826,2
9,Scroll,768,2
9,Scroll,718,2
9,Scroll,679,2
9,Scroll,654,2
9,Scroll,640,2
9,Scroll,636,2
9,Scroll,634,2
9,Scroll,631,2
9,Scroll,621,2
9,Scroll,596,2
9,Scroll,568,2
9,Scroll,291,2
9,Scroll,270,2
9,Scroll,238,2
9,Scroll,226,2
9,Scroll,218,2
9,Scroll,214,2
9,Scroll,212,2
9,Scroll,211,2
9,Scroll,212,2
9,CheckCiudad,lcb2,3
9,UncheckCiudad,lcb2,3
9,Scroll,217,4
9,Scroll,267,4
9,Scroll,312,4
9,Scroll,361,4
9,Scroll,460,4
9,Scroll,504,4
9,Scroll,538,4
9,Scroll,562,4
9,Scroll,576,4
9,Scroll,582,4
9,Scroll,583,4
9,Scroll,584,4
9,Scroll,591,4
9,Scroll,608,4
9,Scroll,667,4
9,Scroll,712,4
9,Scroll,766,4
9,Scroll,944,4
9,Scroll,981,4
9,Scroll,1002,4
9,Scroll,1007,4
9,Scroll,1013,4
9,Scroll,1018,4
9,Scroll,1068,4
9,Scroll,1116,4
9,Scroll,1172,4
9,Scroll,1229,4
9,Scroll,1308,4
9,Scroll,1323,4
9,Scroll,1325,4
9,Scroll,1324,4
9,Scroll,1323,4
9,Scroll,1318,5
9,Scroll,1310,5
9,Scroll,1295,5
9,Scroll,1275,5
9,Scroll,1247,5
9,Scroll,1214,5
9,Scroll,1178,5
9,Scroll,1141,5
9,Scroll,1109,5
9,Scroll,1084,5
9,Scroll,1068,5
9,Scroll,1060,5
9,Scroll,1057,5
9,Scroll,1053,5
9,Scroll,1048,5
9,Scroll,1041,5
9,Scroll,1034,5
9,Scroll,1024,5
9,Scroll,1014,5
9,Scroll,1003,5
9,Scroll,992,5
9,Scroll,981,5
9,Scroll,972,5
9,Scroll,964,5
9,Scroll,959,5
9,Scroll,955,5
9,Scroll,965,5
9,Scroll,986,5
9,Scroll,1017,5
9,Scroll,1056,5
9,Scroll,1103,5
9,Scroll,1152,5
9,Scroll,1198,5
9,Scroll,1234,5
9,Scroll,1258,5
9,Scroll,1270,5
9,Scroll,1272,5
9,Scroll,1273,5
9,Scroll,1276,5
9,Scroll,1286,5
9,Scroll,1352,5
9,Scroll,1414,5
9,Scroll,1485,5
9,Scroll,1553,5
9,Scroll,1604,5
9,Scroll,1634,5
9,Scroll,1643,5
9,Scroll,1644,6
9,Scroll,1650,6
9,Scroll,1663,6
9,Scroll,1689,6
9,Scroll,1726,6
9,Scroll,1775,6
9,Scroll,1834,6
9,Scroll,1895,6
9,Scroll,1986,6
9,Scroll,2008,6
9,Scroll,2014,6
9,Scroll,2013,6
9,Scroll,2011,6
9,Scroll,2003,6
9,Scroll,1961,6
9,Scroll,1927,6
9,Scroll,1891,6
9,Scroll,1853,6
9,Scroll,1814,6
9,Scroll,1747,6
9,Scroll,1723,6
9,Scroll,1707,6
9,Scroll,1698,6
9,Scroll,1696,6
9,Scroll,1695,6
9,Scroll,1693,6
9,Scroll,1686,6
9,Scroll,1659,6
9,Scroll,1611,6
9,Scroll,1554,6
9,Scroll,1489,6
9,Scroll,1421,6
9,Scroll,1313,6
9,Scroll,1285,6
9,Scroll,1272,6
9,Scroll,1271,6
9,Scroll,1268,6
9,Scroll,1260,6
9,Scroll,1236,6
9,Scroll,1189,6
9,Scroll,1126,6
9,Scroll,1061,6
9,Scroll,949,7
9,Scroll,908,7
9,Scroll,878,7
9,Scroll,860,7
9,Scroll,851,7
9,Scroll,848,7
9,Scroll,847,7
9,Scroll,839,7
9,Scroll,822,7
9,Scroll,794,7
9,Scroll,755,7
9,Scroll,705,7
9,Scroll,589,7
9,Scroll,539,7
9,Scroll,502,7
9,Scroll,482,7
9,Scroll,477,7
9,CheckCiudad,lcb1,7
9,Scroll,480,8
9,Scroll,490,8
9,Scroll,511,8
9,Scroll,546,8
9,Scroll,594,8
9,Scroll,703,8
9,Scroll,748,8
9,Scroll,778,8
9,Scroll,793,8
9,Scroll,795,8
9,Scroll,797,8
9,Scroll,802,8
9,Scroll,819,8
9,Scroll,858,8
9,Scroll,912,8
9,Scroll,979,8
9,Scroll,1053,8
9,Scroll,1123,8
9,Scroll,1176,8
9,Scroll,1208,8
9,Scroll,1218,8
9,Scroll,1219,8
9,Scroll,1220,8
9,Scroll,1225,8
9,Scroll,1238,8
9,Scroll,1254,8
9,Scroll,1280,8
9,Scroll,1314,8
9,Scroll,1355,8
9,Scroll,1401,8
9,Scroll,1447,8
9,Scroll,1486,8
9,Scroll,1514,8
9,Scroll,1531,8
9,Scroll,1536,8
9,Scroll,1537,9
9,CheckHotel,hcb3,9
9,Scroll,1543,9
9,Scroll,1576,9
9,Scroll,1961,9
9,Scroll,1964,9
9,Scroll,1987,10
9,Scroll,2048,10
9,Scroll,2102,10
9,Scroll,2165,10
9,Scroll,2227,10
9,Scroll,2278,10
9,Scroll,2313,10
9,Scroll,2329,10
9,Scroll,2332,10
9,Scroll,2336,10
9,Scroll,2373,10
9,Scroll,2459,10
9,Scroll,2534,10
9,Scroll,2676,10
9,Scroll,2808,10
9,Scroll,2931,10
9,Scroll,3007,10
9,Scroll,3054,10
9,Scroll,3111,10
9,Scroll,3130,10
9,Scroll,3206,10
9,Scroll,3234,10
9,Scroll,3329,10
9,Scroll,3385,10
9,Scroll,3442,10
9,Scroll,3508,10
9,Scroll,3584,10
9,Scroll,3641,10
9,Scroll,3669,10
9,Scroll,3688,10
9,Scroll,3735,10
9,Scroll,3754,10
9,Scroll,3773,10
9,Scroll,3792,10
9,Scroll,3820,10
9,Scroll,3830,10
9,Scroll,3839,10
9,Scroll,3858,10
9,Scroll,3868,11
9,Scroll,3896,11
9,Scroll,3906,11
9,ChangeSatisfactionFace,27,1
9,ChangeSatisfactionFace,28,1
9,ChangeSatisfactionFace,29,1
9,ChangeSatisfactionFace,30,1
9,ChangeSatisfactionFace,32,1
9,ChangeSatisfactionFace,36,1
9,ChangeSatisfactionFace,37,1
9,ChangeSatisfactionFace,39,1
9,ChangeSatisfactionFace,40,1
9,ChangeSatisfactionFace,41,1
9,ChangeSatisfactionFace,40,1
9,ChangeSatisfactionFace,40,1
9,ChangeSatisfactionFace,30,2
9,ChangeSatisfactionFace,29,2
9,ChangeSatisfactionFace,28,2
9,ChangeSatisfactionFace,27,2
9,ChangeSatisfactionFace,26,2
9,ChangeSatisfactionFace,26,2
9,ChangeSatisfactionFace,20,2
9,ChangeSatisfactionFace,19,2
9,ChangeSatisfactionFace,19,2
